src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.10.0.133,41.90.74.49,45476,443,6,2024-03-19 12:34:31,11965785.0,9.02573462585196,0.16714323381207333,0.16714323381207333,0.0,2,0,108,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,40,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,2,0,108,0
10.10.0.133,216.58.223.78,54692,443,6,2024-03-19 12:34:31,12166992.0,41.83449779534662,0.4109479154749177,0.24656874928495062,0.1643791661899671,3,2,383,126,251.0,66.0,127.66666666666667,87.20983634634085,66.0,60.0,63.0,3.0,251,60,101.8,74.63618425401984,5570.5599999999995,60,40,0,1,3041748.0,5941336.0,96490.0,2113141.380861087,12070502.0,9629725.0,2440777.0,6035251.0,3594474.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,101.8,256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.66666666666667,63.0,0,3,2,383,126
10.10.2.243,255.255.255.255,37597,10001,17,2024-03-19 12:34:32,0.0,0,0,0,0,1,0,234,0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,234,234,234.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,234.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0,1,0,234,0
10.10.3.73,8.8.4.4,59152,853,6,2024-03-19 12:34:32,32984192.999999996,252.6664817902321,0.8792090199084149,0.333493076516985,0.54571594339143,11,18,1218,7116,370.0,66.0,110.72727272727273,92.41516100441027,1050.0,66.0,395.3333333333333,282.53770643147004,1050,66,287.37931034482756,268.06334992299526,71857.95957193819,220,360,0,2,1178006.892857143,15890960.0,2.0,3430668.0139038865,32938531.0,20609036.0,4.0,3293853.1,6403225.355969387,30734753.0,15892870.0,2.0,1807926.6470588236,4260083.624736504,0,0,0,0,1,0,0,0,0,0,0,1.6363636363636365,287.37931034482756,413,359,15884359.0,96073.0,4637118.333333333,6012104.922765145,15889050.0,19762.0,3483546.5,5579123.269937177,0.0,0.0,5412.0,10.0,0.0,8559.038705453304,110.72727272727273,395.3333333333333,0,11,18,1218,7116
10.10.0.75,255.255.255.255,43988,10001,17,2024-03-19 12:34:33,0.0,0,0,0,0,1,0,229,0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,229,229,229.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,229.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0,1,0,229,0
10.10.0.133,34.102.215.99,47524,443,6,2024-03-19 12:34:33,31457152.0,81.53948583775161,0.9218889237016752,0.15894636615546123,0.762942557546214,5,24,660,1905,271.0,66.0,132.0,71.54299406650522,105.0,66.0,79.375,16.992185704022894,271,66,88.44827586206897,38.943448129303626,1516.5921521997623,100,480,0,4,1123469.7142857143,11200510.0,1.0,2709781.142049863,21152547.0,11545549.0,2072.0,5288136.75,5322347.802471968,29765697.0,13013079.0,1.0,1294160.7391304348,3264142.3624902335,0,0,0,0,1,0,0,0,0,0,0,4.8,88.44827586206897,265,298,11200509.0,48871.0,3295039.6666666665,4522761.248063387,11142548.0,18127.0,2406716.3636363638,3464648.322582887,0.0,0.0,234.0,6.0,0.0,594.2404388237087,132.0,79.375,0,5,24,660,1905
10.10.0.133,2.17.161.104,54650,443,6,2024-03-19 12:34:33,12526343.0,34.48732004225016,0.4789905561423633,0.3193270374282422,0.1596635187141211,4,2,276,156,78.0,66.0,69.0,5.196152422706632,90.0,66.0,78.0,12.0,90,66,72.0,9.16515138991168,84.0,80,40,0,0,2505268.6,7915485.0,5184.0,3041087.8131859726,12526343.0,11708903.0,5184.0,4175447.6666666665,5337137.388013187,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,72.0,265,504,0.0,0.0,0.0,0.0,7910301.0,5184.0,2873299.6666666665,3573118.849803006,0.0,0.0,0.0,0.0,0.0,0.0,69.0,78.0,0,4,2,276,156
10.10.53.154,255.255.255.255,59077,10001,17,2024-03-19 12:34:34,0.0,0,0,0,0,1,0,237,0,237.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,237,237,237.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,237.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0,1,0,237,0
10.10.0.133,2.22.201.40,34752,443,6,2024-03-19 12:34:34,25261267.0,23.751777771083294,0.3166903702811106,0.03958629628513882,0.27710407399597176,1,7,66,534,66.0,66.0,66.0,0.0,90.0,66.0,76.28571428571429,11.876919823329445,90,66,75.0,11.61895003862225,135.0,20,140,0,0,3608752.4285714286,23724928.0,3.0,8229340.90631,0,0.0,0.0,0.0,0.0,23730320.0,23724928.0,3.0,3955053.3333333335,8841356.805444092,0,0,0,0,1,0,0,0,0,0,0,7.0,75.0,302,506,0.0,0.0,0.0,0.0,23724925.0,1530947.0,12627936.0,11096989.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,76.28571428571429,0,1,7,66,534
102.132.96.54,10.10.6.247,443,44124,6,2024-03-19 12:34:34,821282.0,599.0634154894421,7.305651408407831,7.305651408407831,0.0,6,0,492,0,90.0,66.0,82.0,11.313708498984761,0.0,0.0,0.0,0.0,90,66,82.0,11.313708498984761,128.0,120,0,0,4,164256.4,541496.0,3.0,205971.88508007588,821282.0,541496.0,3.0,164256.4,205971.88508007588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,82.0,266,0,6931.0,3.0,3467.0,3464.0,312372.0,28792.0,182808.0,117055.05635668484,96.0,4.0,0.0,0.0,116.89042253452529,0.0,82.0,0.0,0,6,0,492,0
